age,job,marital,education,default,housing,loan,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,Deposit
30,services,married,high.school,no,no,no,-1.8,92.893,-46.2,1.344,5099.1,0
34,entrepreneur,single,professional.course,no,no,no,1.4,94.465,-41.8,4.961,5228.1,0
40,blue-collar,married,professional.course,no,yes,yes,1.4,93.918,-42.7,4.962,5228.1,1
25,technician,single,university.degree,no,yes,no,1.1,93.994,-36.4,4.856,5191.0,0
36,entrepreneur,single,basic.9y,unknown,yes,yes,-1.8,92.893,-46.2,1.266,5099.1,0
54,blue-collar,married,basic.4y,unknown,yes,no,1.4,93.444,-36.1,4.966,5228.1,0
38,housemaid,single,high.school,no,yes,no,-1.8,93.369,-34.8,0.649,5008.7,1
46,management,married,university.degree,no,no,no,1.4,93.918,-42.7,4.962,5228.1,1
22,technician,single,university.degree,no,yes,no,-2.9,92.963,-40.8,1.268,5076.2,1
45,technician,married,professional.course,no,yes,no,1.4,93.444,-36.1,4.966,5228.1,0
57,admin.,married,basic.6y,no,no,no,-1.8,92.893,-46.2,1.259,5099.1,0
32,technician,single,university.degree,no,yes,yes,1.4,93.444,-36.1,4.962,5228.1,0
17,student,single,unknown,no,no,yes,-3.4,92.431,-26.9,0.742,5017.5,1
29,management,single,university.degree,no,no,no,-0.1,93.2,-42.0,4.12,5195.8,1
32,technician,single,professional.course,no,yes,no,1.4,93.444,-36.1,4.967,5228.1,0
37,student,divorced,university.degree,no,yes,no,-1.8,93.876,-40.0,0.699,5008.7,1
31,admin.,divorced,university.degree,no,yes,no,1.4,93.444,-36.1,4.965,5228.1,0
27,admin.,single,professional.course,no,no,no,1.4,93.918,-42.7,4.962,5228.1,0
47,services,married,high.school,no,no,no,1.4,94.465,-41.8,4.865,5228.1,0
31,housemaid,single,high.school,no,yes,no,1.4,93.918,-42.7,4.963,5228.1,0
36,admin.,single,university.degree,no,no,no,-0.1,93.2,-42.0,4.12,5195.8,0
26,blue-collar,single,basic.6y,unknown,yes,no,1.4,93.918,-42.7,4.961,5228.1,1
59,retired,married,professional.course,unknown,yes,no,1.4,94.465,-41.8,4.959,5228.1,0
56,services,divorced,high.school,no,no,no,1.4,93.918,-42.7,4.961,5228.1,0
34,admin.,single,university.degree,no,no,no,1.4,93.444,-36.1,4.966,5228.1,0
32,self-employed,divorced,professional.course,no,no,no,1.1,93.994,-36.4,4.855,5191.0,0
35,technician,married,professional.course,no,yes,no,1.4,93.918,-42.7,4.962,5228.1,0
55,technician,married,professional.course,unknown,no,no,1.1,93.994,-36.4,4.859,5191.0,0
40,technician,divorced,university.degree,no,no,no,1.4,93.444,-36.1,4.963,5228.1,0
53,blue-collar,married,basic.4y,no,yes,no,1.4,93.444,-36.1,4.963,5228.1,0
43,services,married,basic.6y,no,yes,no,-1.8,92.893,-46.2,1.25,5099.1,0
37,blue-collar,married,basic.9y,no,yes,no,1.4,94.465,-41.8,4.961,5228.1,0
31,student,single,university.degree,no,yes,yes,-1.8,93.749,-34.6,0.663,5008.7,1
41,management,married,university.degree,no,yes,no,1.1,93.994,-36.4,4.856,5191.0,0
47,blue-collar,single,basic.6y,no,no,no,-1.8,93.075,-47.1,1.365,5099.1,1
44,services,single,high.school,no,no,no,-1.8,92.893,-46.2,1.313,5099.1,0
41,self-employed,married,professional.course,no,yes,no,1.4,93.444,-36.1,4.964,5228.1,0
42,technician,divorced,professional.course,no,yes,no,1.4,93.444,-36.1,4.963,5228.1,0
54,technician,married,professional.course,unknown,yes,no,1.4,93.444,-36.1,4.97,5228.1,0
66,unknown,divorced,unknown,unknown,yes,no,-1.8,92.893,-46.2,1.27,5099.1,0
35,admin.,married,university.degree,no,no,yes,-1.8,93.749,-34.6,0.663,5008.7,1
44,blue-collar,divorced,basic.9y,no,no,no,1.4,93.918,-42.7,4.963,5228.1,0
28,admin.,single,unknown,no,no,no,1.4,94.465,-41.8,4.959,5228.1,0
41,services,divorced,basic.9y,no,yes,no,1.4,94.465,-41.8,4.96,5228.1,0
52,self-employed,married,university.degree,unknown,yes,no,1.1,93.994,-36.4,4.858,5191.0,0
44,services,married,high.school,no,yes,no,-1.8,92.893,-46.2,1.344,5099.1,0
34,unknown,divorced,basic.4y,no,no,no,-0.1,93.2,-42.0,4.12,5195.8,0
41,admin.,divorced,university.degree,no,no,no,-1.7,94.215,-40.3,0.793,4991.6,0
33,technician,married,professional.course,unknown,yes,no,1.4,93.444,-36.1,4.965,5228.1,0
59,management,married,unknown,no,yes,no,-3.4,92.379,-29.8,0.778,5017.5,0
31,admin.,single,university.degree,no,yes,no,-2.9,92.963,-40.8,1.262,5076.2,1
30,self-employed,single,university.degree,no,yes,no,-2.9,92.469,-33.6,1.044,5076.2,0
39,technician,married,professional.course,no,no,yes,1.1,93.994,-36.4,4.857,5191.0,0
42,admin.,married,high.school,no,no,yes,1.4,94.465,-41.8,4.865,5228.1,0
35,management,divorced,university.degree,no,no,no,-3.0,92.713,-33.0,0.706,5023.5,1
40,management,married,university.degree,no,yes,no,1.1,93.994,-36.4,4.856,5191.0,0
30,student,single,unknown,no,yes,no,-1.8,93.369,-34.8,0.637,5008.7,1
44,blue-collar,single,basic.6y,unknown,yes,no,1.1,93.994,-36.4,4.855,5191.0,1
55,blue-collar,divorced,basic.4y,no,no,no,-0.1,93.2,-42.0,4.191,5195.8,0
34,blue-collar,married,basic.6y,no,yes,no,1.1,93.994,-36.4,4.858,5191.0,1
27,services,single,basic.9y,no,no,no,1.1,93.994,-36.4,4.857,5191.0,0
33,management,married,basic.9y,unknown,no,no,1.1,93.994,-36.4,4.864,5191.0,0
29,services,married,basic.6y,no,no,yes,-1.8,93.075,-47.1,1.405,5099.1,0
57,blue-collar,married,high.school,unknown,no,no,1.4,93.918,-42.7,4.957,5228.1,1
41,blue-collar,married,basic.9y,unknown,yes,no,-1.8,92.893,-46.2,1.25,5099.1,0
55,entrepreneur,married,professional.course,no,yes,no,-3.4,92.431,-26.9,0.739,5017.5,0
22,student,single,high.school,no,yes,yes,-1.8,92.893,-46.2,1.354,5099.1,1
26,services,single,high.school,no,yes,no,1.1,93.994,-36.4,4.856,5191.0,0
30,blue-collar,single,basic.9y,no,yes,no,-0.1,93.2,-42.0,4.076,5195.8,0
26,admin.,single,high.school,no,no,yes,1.4,94.465,-41.8,4.865,5228.1,0
47,technician,married,professional.course,no,unknown,unknown,1.1,93.994,-36.4,4.858,5191.0,0
32,admin.,married,university.degree,no,yes,no,-0.1,93.2,-42.0,4.021,5195.8,0
41,admin.,married,high.school,no,yes,no,1.4,93.918,-42.7,4.961,5228.1,0
26,housemaid,married,university.degree,no,no,no,1.4,94.465,-41.8,4.866,5228.1,0
36,admin.,married,high.school,no,no,no,-1.8,93.075,-47.1,1.405,5099.1,0
46,management,divorced,basic.4y,no,no,no,1.4,93.918,-42.7,4.957,5228.1,0
41,admin.,divorced,high.school,no,no,no,1.1,93.994,-36.4,4.857,5191.0,0
34,admin.,unknown,university.degree,no,yes,no,-1.8,92.893,-46.2,1.299,5099.1,0
38,admin.,married,high.school,unknown,no,no,1.1,93.994,-36.4,4.857,5191.0,0
65,retired,married,unknown,no,unknown,unknown,-3.4,92.431,-26.9,0.739,5017.5,0
30,technician,single,professional.course,no,yes,no,-2.9,92.963,-40.8,1.262,5076.2,0
30,technician,single,university.degree,unknown,yes,no,1.4,93.444,-36.1,4.964,5228.1,0
36,admin.,married,high.school,unknown,no,no,-1.8,92.893,-46.2,1.244,5099.1,0
43,admin.,married,university.degree,no,yes,no,1.4,93.918,-42.7,4.962,5228.1,0
38,blue-collar,married,basic.6y,no,no,no,-1.8,92.893,-46.2,1.266,5099.1,0
28,student,single,high.school,no,no,no,-1.8,93.075,-47.1,1.365,5099.1,0
64,retired,married,university.degree,no,no,no,-2.9,92.201,-31.4,0.849,5076.2,0
48,admin.,divorced,university.degree,no,yes,no,-2.9,92.469,-33.6,1.059,5076.2,1
48,housemaid,married,basic.6y,no,yes,no,-0.1,93.2,-42.0,4.12,5195.8,0
32,management,single,university.degree,no,no,no,1.1,93.994,-36.4,4.858,5191.0,0
31,admin.,married,high.school,no,yes,no,1.4,93.918,-42.7,4.963,5228.1,0
26,admin.,married,university.degree,no,yes,no,1.4,93.918,-42.7,4.96,5228.1,0
33,admin.,married,university.degree,no,yes,yes,-1.8,92.893,-46.2,1.281,5099.1,0
63,retired,married,university.degree,no,no,no,-2.9,92.201,-31.4,0.859,5076.2,0
55,blue-collar,married,basic.4y,no,no,no,1.4,93.918,-42.7,4.957,5228.1,0
59,retired,divorced,university.degree,unknown,unknown,unknown,1.4,93.918,-42.7,4.962,5228.1,0
51,entrepreneur,married,professional.course,no,no,no,1.4,94.465,-41.8,4.959,5228.1,0
47,technician,divorced,high.school,no,yes,no,1.4,93.444,-36.1,4.964,5228.1,0
41,self-employed,married,basic.9y,no,no,no,-1.8,93.075,-47.1,1.405,5099.1,0
55,admin.,divorced,university.degree,no,no,no,-1.8,93.075,-47.1,1.365,5099.1,1
36,blue-collar,single,basic.6y,no,yes,no,-1.8,92.893,-46.2,1.266,5099.1,0
39,admin.,single,high.school,no,yes,yes,-0.1,93.2,-42.0,4.153,5195.8,0
54,blue-collar,single,basic.4y,no,no,no,1.1,93.994,-36.4,4.86,5191.0,0
35,technician,married,basic.9y,no,no,no,-1.8,92.893,-46.2,1.291,5099.1,1
58,management,married,university.degree,unknown,no,no,1.1,93.994,-36.4,4.86,5191.0,0
40,admin.,single,high.school,no,yes,no,1.1,93.994,-36.4,4.86,5191.0,1
32,management,married,high.school,no,no,yes,-0.1,93.2,-42.0,4.191,5195.8,0
33,services,divorced,high.school,no,no,no,1.1,93.994,-36.4,4.857,5191.0,0
43,management,married,university.degree,no,yes,yes,-1.8,93.075,-47.1,1.405,5099.1,0
52,technician,single,professional.course,no,yes,no,1.4,93.444,-36.1,4.968,5228.1,0
30,technician,married,university.degree,no,yes,yes,-1.7,94.215,-40.3,0.87,4991.6,1
45,technician,unknown,basic.6y,no,no,no,-1.8,92.893,-46.2,1.299,5099.1,0
34,admin.,married,university.degree,no,no,yes,1.4,93.444,-36.1,4.963,5228.1,0
26,services,single,basic.9y,unknown,yes,no,-1.8,92.893,-46.2,1.291,5099.1,0
69,retired,married,high.school,no,no,no,-3.4,92.379,-29.8,0.773,5017.5,0
37,management,married,high.school,no,no,no,-1.8,93.876,-40.0,0.682,5008.7,1
28,admin.,married,university.degree,no,no,no,1.4,94.465,-41.8,4.962,5228.1,0
40,admin.,married,university.degree,no,no,no,1.4,93.444,-36.1,4.962,5228.1,0
36,admin.,single,university.degree,no,yes,no,-0.1,93.2,-42.0,4.076,5195.8,0
25,admin.,married,high.school,no,no,no,-1.8,92.893,-46.2,1.299,5099.1,0
45,blue-collar,married,basic.9y,unknown,no,no,1.4,94.465,-41.8,4.959,5228.1,1
42,blue-collar,married,basic.6y,no,no,no,1.1,93.994,-36.4,4.857,5191.0,0
48,technician,married,university.degree,no,no,no,-0.1,93.2,-42.0,4.153,5195.8,0
59,management,married,university.degree,no,no,no,1.1,93.994,-36.4,4.855,5191.0,0
32,entrepreneur,single,university.degree,unknown,yes,no,1.1,93.994,-36.4,4.856,5191.0,0
55,blue-collar,divorced,basic.4y,no,yes,no,1.4,93.918,-42.7,4.961,5228.1,0
49,management,married,high.school,no,no,no,1.4,93.918,-42.7,4.962,5228.1,0
24,services,single,high.school,no,no,no,1.4,93.918,-42.7,4.96,5228.1,0
44,unknown,married,high.school,unknown,no,no,1.4,93.918,-42.7,4.961,5228.1,0
40,blue-collar,married,basic.6y,no,no,no,-1.8,93.075,-47.1,1.405,5099.1,0
29,admin.,married,high.school,no,yes,yes,-0.1,93.2,-42.0,4.191,5195.8,0
45,admin.,married,high.school,unknown,yes,no,1.4,93.918,-42.7,4.962,5228.1,0
45,housemaid,married,university.degree,no,yes,no,-1.8,93.075,-47.1,1.405,5099.1,0
54,blue-collar,married,basic.4y,unknown,no,no,-1.8,92.893,-46.2,1.244,5099.1,0
44,blue-collar,married,basic.4y,no,no,no,1.4,94.465,-41.8,4.866,5228.1,0
45,management,divorced,university.degree,no,no,no,-1.8,93.075,-47.1,1.453,5099.1,0
32,services,married,high.school,no,yes,no,-0.1,93.2,-42.0,4.153,5195.8,0
48,entrepreneur,single,university.degree,no,yes,no,1.4,93.918,-42.7,4.961,5228.1,0
34,admin.,single,university.degree,no,yes,yes,-1.7,94.215,-40.3,0.889,4991.6,0
42,blue-collar,married,basic.4y,unknown,no,no,1.1,93.994,-36.4,4.855,5191.0,0
32,self-employed,married,university.degree,no,no,no,-3.4,92.649,-30.1,0.714,5017.5,0
27,services,single,university.degree,no,no,no,-1.8,93.369,-34.8,0.652,5008.7,0
42,technician,divorced,professional.course,no,no,no,-1.8,93.075,-47.1,1.453,5099.1,0
51,services,married,high.school,unknown,yes,no,1.1,93.994,-36.4,4.864,5191.0,0
40,admin.,single,high.school,no,no,no,-1.8,92.893,-46.2,1.344,5099.1,0
43,technician,married,high.school,no,yes,yes,-3.4,92.379,-29.8,0.809,5017.5,0
35,services,married,basic.9y,unknown,no,no,-1.8,92.893,-46.2,1.299,5099.1,0
62,retired,married,university.degree,no,no,no,-3.4,92.379,-29.8,0.781,5017.5,0
32,management,married,high.school,no,no,no,1.1,93.994,-36.4,4.857,5191.0,0
42,services,married,basic.9y,no,yes,no,-1.8,92.893,-46.2,1.281,5099.1,0
55,retired,married,basic.6y,unknown,yes,no,1.4,93.918,-42.7,4.962,5228.1,0
48,unemployed,married,basic.6y,no,yes,no,1.4,93.918,-42.7,4.962,5228.1,0
46,blue-collar,married,basic.9y,no,yes,no,1.1,93.994,-36.4,4.858,5191.0,0
32,blue-collar,single,basic.6y,no,yes,no,1.1,93.994,-36.4,4.858,5191.0,0
46,admin.,married,university.degree,no,no,no,-1.8,93.876,-40.0,0.692,5008.7,1
32,admin.,married,university.degree,no,yes,no,1.4,94.465,-41.8,4.959,5228.1,0
41,blue-collar,married,basic.4y,unknown,unknown,unknown,-1.8,92.893,-46.2,1.327,5099.1,0
38,blue-collar,married,high.school,unknown,yes,no,-1.8,92.893,-46.2,1.334,5099.1,1
34,unemployed,single,university.degree,no,yes,no,-1.8,93.075,-47.1,1.423,5099.1,1
58,retired,married,professional.course,no,no,no,-0.1,93.2,-42.0,4.12,5195.8,0
32,blue-collar,married,basic.9y,no,yes,no,1.4,94.465,-41.8,4.96,5228.1,0
38,self-employed,married,basic.9y,unknown,no,no,1.4,93.444,-36.1,4.964,5228.1,1
27,admin.,single,professional.course,no,no,no,1.4,93.918,-42.7,4.962,5228.1,1
40,services,married,unknown,unknown,no,no,-1.8,93.075,-47.1,1.466,5099.1,0
38,blue-collar,married,basic.4y,no,no,no,-1.8,92.893,-46.2,1.334,5099.1,0
26,technician,single,basic.9y,no,yes,no,-1.1,94.199,-37.5,0.879,4963.6,1
47,services,single,basic.9y,no,no,no,-0.1,93.2,-42.0,4.153,5195.8,0
34,services,single,high.school,no,unknown,unknown,1.1,93.994,-36.4,4.857,5191.0,0
38,admin.,single,university.degree,no,yes,no,-0.1,93.2,-42.0,4.12,5195.8,0
24,blue-collar,single,basic.4y,no,yes,no,-1.8,92.893,-46.2,1.313,5099.1,0
39,technician,married,high.school,no,no,no,-0.1,93.2,-42.0,4.021,5195.8,1
56,blue-collar,married,basic.4y,no,no,no,1.4,93.444,-36.1,4.964,5228.1,0
85,retired,married,basic.4y,unknown,yes,no,-1.8,93.075,-47.1,1.405,5099.1,1
58,unemployed,married,university.degree,no,yes,no,-1.1,94.767,-50.8,1.041,4963.6,1
53,blue-collar,divorced,basic.9y,no,no,no,-0.1,93.2,-42.0,4.12,5195.8,0
37,housemaid,married,university.degree,no,yes,no,1.4,94.465,-41.8,4.967,5228.1,0
42,management,divorced,unknown,no,yes,no,-3.4,92.431,-26.9,0.741,5017.5,0
34,entrepreneur,married,basic.4y,no,yes,no,1.1,93.994,-36.4,4.864,5191.0,0
34,technician,married,high.school,no,yes,yes,1.4,93.918,-42.7,4.963,5228.1,0
58,blue-collar,married,basic.9y,no,no,no,1.4,93.444,-36.1,4.968,5228.1,0
40,management,divorced,university.degree,no,no,no,-1.7,94.027,-38.3,0.898,4991.6,0
58,services,married,high.school,no,yes,no,1.4,93.918,-42.7,4.962,5228.1,0
30,student,single,university.degree,no,yes,yes,-1.8,93.075,-47.1,1.405,5099.1,0
37,services,married,basic.9y,unknown,yes,no,-1.8,92.893,-46.2,1.281,5099.1,0
34,technician,single,professional.course,no,yes,no,1.1,93.994,-36.4,4.857,5191.0,0
34,housemaid,divorced,university.degree,no,unknown,unknown,-1.8,93.075,-47.1,1.405,5099.1,0
32,entrepreneur,married,university.degree,no,yes,no,1.4,93.444,-36.1,4.963,5228.1,0
37,services,married,high.school,no,yes,no,-0.1,93.2,-42.0,4.153,5195.8,0
33,admin.,married,university.degree,no,no,no,-1.8,92.893,-46.2,1.313,5099.1,0
43,entrepreneur,married,basic.9y,unknown,yes,no,1.1,93.994,-36.4,4.857,5191.0,0
34,technician,single,high.school,no,yes,no,-0.1,93.2,-42.0,4.153,5195.8,0
26,services,single,high.school,no,yes,no,1.4,93.918,-42.7,4.96,5228.1,0
26,admin.,single,high.school,no,no,no,1.4,94.465,-41.8,4.864,5228.1,0
57,admin.,divorced,university.degree,unknown,yes,yes,1.4,93.918,-42.7,4.961,5228.1,1
34,technician,married,professional.course,unknown,yes,yes,1.4,93.444,-36.1,4.963,5228.1,0
29,blue-collar,divorced,unknown,unknown,no,no,-1.8,92.893,-46.2,1.25,5099.1,0
50,blue-collar,married,basic.9y,no,no,no,-1.8,93.075,-47.1,1.405,5099.1,0
41,blue-collar,divorced,basic.4y,no,no,no,-1.8,92.893,-46.2,1.25,5099.1,1
54,blue-collar,divorced,basic.4y,unknown,yes,yes,1.4,93.918,-42.7,4.963,5228.1,0
55,retired,married,professional.course,no,yes,no,1.1,93.994,-36.4,4.86,5191.0,0
41,management,married,basic.9y,no,no,no,-0.1,93.2,-42.0,4.076,5195.8,0
24,blue-collar,single,basic.9y,unknown,yes,yes,-1.8,92.893,-46.2,1.266,5099.1,0
40,blue-collar,single,basic.9y,no,no,no,-1.8,92.893,-46.2,1.281,5099.1,0
56,blue-collar,married,basic.9y,unknown,yes,no,-1.8,92.893,-46.2,1.25,5099.1,0
49,unemployed,married,university.degree,no,yes,yes,1.1,93.994,-36.4,4.855,5191.0,0
46,admin.,divorced,university.degree,no,no,no,1.1,93.994,-36.4,4.856,5191.0,0
56,entrepreneur,married,unknown,unknown,yes,no,1.1,93.994,-36.4,4.857,5191.0,0
62,blue-collar,married,unknown,no,no,no,-1.8,93.369,-34.8,0.635,5008.7,0
45,blue-collar,single,basic.9y,no,no,yes,-3.4,92.431,-26.9,0.742,5017.5,1
36,technician,single,university.degree,no,yes,no,1.1,93.994,-36.4,4.855,5191.0,0
44,admin.,married,basic.9y,unknown,no,no,-1.8,92.893,-46.2,1.334,5099.1,0
55,management,married,basic.9y,no,yes,no,1.4,93.918,-42.7,4.963,5228.1,0
36,services,single,high.school,no,no,no,-0.1,93.2,-42.0,4.076,5195.8,0
32,admin.,single,high.school,no,yes,no,1.4,94.465,-41.8,4.959,5228.1,1
33,management,married,high.school,no,no,no,1.4,93.918,-42.7,4.963,5228.1,0
58,retired,married,high.school,no,no,no,-2.9,92.201,-31.4,0.883,5076.2,0
35,management,married,university.degree,no,yes,no,-0.1,93.2,-42.0,4.12,5195.8,0
27,services,single,high.school,no,no,no,1.4,93.918,-42.7,4.962,5228.1,0
41,blue-collar,married,basic.4y,unknown,yes,no,-1.8,92.893,-46.2,1.327,5099.1,0
43,technician,single,professional.course,no,yes,no,1.1,93.994,-36.4,4.857,5191.0,0
27,admin.,single,university.degree,no,no,yes,-2.9,92.963,-40.8,1.262,5076.2,0
27,blue-collar,single,basic.9y,no,yes,yes,-1.8,92.893,-46.2,1.266,5099.1,1
48,technician,married,professional.course,unknown,yes,no,1.1,93.994,-36.4,4.859,5191.0,0
44,blue-collar,married,basic.6y,no,yes,no,-0.1,93.2,-42.0,4.021,5195.8,0
35,entrepreneur,single,basic.9y,no,yes,no,-0.1,93.2,-42.0,4.191,5195.8,0
29,admin.,single,high.school,no,unknown,unknown,1.4,94.465,-41.8,4.947,5228.1,0
53,admin.,divorced,university.degree,no,yes,yes,1.1,93.994,-36.4,4.86,5191.0,0
46,admin.,married,high.school,no,yes,no,-1.8,93.075,-47.1,1.365,5099.1,1
32,blue-collar,married,basic.6y,no,no,no,1.4,93.918,-42.7,4.961,5228.1,0
34,admin.,married,university.degree,no,no,yes,1.4,93.444,-36.1,4.964,5228.1,0
42,technician,divorced,basic.9y,no,no,no,1.4,94.465,-41.8,4.959,5228.1,0
34,services,married,high.school,no,yes,no,-1.8,93.075,-47.1,1.445,5099.1,0
53,technician,divorced,professional.course,unknown,no,yes,1.1,93.994,-36.4,4.857,5191.0,0
35,admin.,married,high.school,no,yes,yes,1.4,94.465,-41.8,4.864,5228.1,0
44,management,married,basic.9y,no,yes,no,1.4,93.444,-36.1,4.966,5228.1,0
29,self-employed,married,university.degree,no,yes,yes,-0.1,93.2,-42.0,4.021,5195.8,1
40,admin.,married,university.degree,no,yes,no,1.4,93.444,-36.1,4.964,5228.1,0
49,housemaid,divorced,basic.4y,no,no,no,1.4,94.465,-41.8,4.962,5228.1,0
34,services,married,high.school,no,no,no,-0.1,93.2,-42.0,4.12,5195.8,0
59,blue-collar,married,basic.9y,no,yes,no,1.4,93.444,-36.1,4.968,5228.1,0
32,admin.,single,university.degree,unknown,no,no,1.1,93.994,-36.4,4.864,5191.0,0
40,technician,married,high.school,no,no,no,1.4,93.444,-36.1,4.963,5228.1,0
57,blue-collar,married,basic.4y,no,no,no,1.4,93.444,-36.1,4.964,5228.1,0
36,blue-collar,married,basic.9y,unknown,no,no,1.1,93.994,-36.4,4.856,5191.0,0
33,blue-collar,single,basic.9y,unknown,yes,no,-0.1,93.2,-42.0,4.12,5195.8,0
45,technician,divorced,university.degree,no,yes,no,-0.1,93.2,-42.0,4.076,5195.8,0
47,admin.,divorced,university.degree,no,no,yes,1.4,93.444,-36.1,4.965,5228.1,0
79,retired,married,high.school,no,yes,yes,-2.9,92.963,-40.8,1.262,5076.2,0
57,retired,single,unknown,unknown,yes,yes,1.4,93.918,-42.7,4.962,5228.1,0
30,student,single,unknown,no,no,no,-3.0,92.713,-33.0,0.717,5023.5,0
39,services,married,high.school,unknown,yes,no,1.1,93.994,-36.4,4.856,5191.0,0
47,services,divorced,basic.9y,unknown,no,no,1.4,93.918,-42.7,4.96,5228.1,0
36,management,married,university.degree,no,yes,no,-2.9,92.201,-31.4,0.881,5076.2,0
45,management,married,unknown,unknown,no,no,1.1,93.994,-36.4,4.856,5191.0,0
45,blue-collar,married,basic.9y,no,yes,no,-1.8,92.843,-50.0,1.51,5099.1,0
44,blue-collar,divorced,basic.4y,unknown,yes,no,-1.8,93.075,-47.1,1.405,5099.1,0
30,admin.,single,basic.9y,no,yes,no,-0.1,93.2,-42.0,4.076,5195.8,0
32,management,married,university.degree,no,no,yes,-1.8,92.893,-46.2,1.244,5099.1,0
41,technician,married,professional.course,no,no,no,1.1,93.994,-36.4,4.864,5191.0,0
30,admin.,single,university.degree,no,yes,yes,1.4,93.918,-42.7,4.962,5228.1,0
32,services,single,basic.9y,no,no,yes,-1.8,92.893,-46.2,1.334,5099.1,0
40,admin.,married,high.school,no,no,no,1.1,93.994,-36.4,4.864,5191.0,0
32,admin.,single,professional.course,no,yes,yes,-1.8,92.893,-46.2,1.327,5099.1,1
39,blue-collar,married,basic.6y,no,yes,no,1.1,93.994,-36.4,4.857,5191.0,0
23,student,single,basic.9y,no,yes,no,-1.1,94.199,-37.5,0.879,4963.6,1
38,technician,single,professional.course,no,no,no,1.1,93.994,-36.4,4.855,5191.0,0
32,admin.,single,university.degree,no,yes,no,1.1,93.994,-36.4,4.855,5191.0,0
